Question,Answer Choice,Specialty,Points
Q1. Which high school subject did you find most naturally enjoyable?,A. Biology,Internal Medicine,1
Q1. Which high school subject did you find most naturally enjoyable?,A. Biology,Pediatrics,1
Q1. Which high school subject did you find most naturally enjoyable?,A. Biology,Med-Peds,1
Q1. Which high school subject did you find most naturally enjoyable?,B. Physics,Cardiology,2
Q1. Which high school subject did you find most naturally enjoyable?,B. Physics,Radiology,2
Q1. Which high school subject did you find most naturally enjoyable?,C. Psychology,Psychiatry,2
Q1. Which high school subject did you find most naturally enjoyable?,C. Psychology,Neurology,2
Q1. Which high school subject did you find most naturally enjoyable?,D. Art or Design,Dermatology,1
Q1. Which high school subject did you find most naturally enjoyable?,D. Art or Design,Plastic Surgery,1
Q1. Which high school subject did you find most naturally enjoyable?,D. Art or Design,Ophthalmology,1
"Q2. If your phone breaks, what do you do first?",A. Take it apart to figure it out,General Surgery,2
"Q2. If your phone breaks, what do you do first?",A. Take it apart to figure it out,Orthopedic Surgery,2
"Q2. If your phone breaks, what do you do first?",A. Take it apart to figure it out,ENT,2
"Q2. If your phone breaks, what do you do first?",A. Take it apart to figure it out,Urology,2
"Q2. If your phone breaks, what do you do first?",A. Take it apart to figure it out,Ophthalmology,2
"Q2. If your phone breaks, what do you do first?",B. Watch a YouTube repair video,General Surgery,1
"Q2. If your phone breaks, what do you do first?",B. Watch a YouTube repair video,Orthopedic Surgery,1
"Q2. If your phone breaks, what do you do first?",B. Watch a YouTube repair video,ENT,1
"Q2. If your phone breaks, what do you do first?",B. Watch a YouTube repair video,Urology,1
"Q2. If your phone breaks, what do you do first?",C. Bring it straight to a shop,Family Medicine,1
"Q2. If your phone breaks, what do you do first?",C. Bring it straight to a shop,Pediatrics,1
"Q2. If your phone breaks, what do you do first?",D. Live without it for a bit,Psychiatry,1
"Q2. If your phone breaks, what do you do first?",D. Live without it for a bit,Pathology,1
Q3. You’re planning a weekend. Which sounds most fun?,A. Escape room or puzzle-solving,Internal Medicine,2
Q3. You’re planning a weekend. Which sounds most fun?,A. Escape room or puzzle-solving,Neurology,2
Q3. You’re planning a weekend. Which sounds most fun?,A. Escape room or puzzle-solving,Infectious Disease,2
Q3. You’re planning a weekend. Which sounds most fun?,B. Volunteering at a free clinic,Family Medicine,2
Q3. You’re planning a weekend. Which sounds most fun?,B. Volunteering at a free clinic,Pediatrics,2
Q3. You’re planning a weekend. Which sounds most fun?,B. Volunteering at a free clinic,Med-Peds,2
Q3. You’re planning a weekend. Which sounds most fun?,C. Building furniture or repairing a bike,Orthopedic Surgery,2
Q3. You’re planning a weekend. Which sounds most fun?,C. Building furniture or repairing a bike,General Surgery,2
Q3. You’re planning a weekend. Which sounds most fun?,C. Building furniture or repairing a bike,ENT,2
Q3. You’re planning a weekend. Which sounds most fun?,D. Sketching or photography,Dermatology,2
Q3. You’re planning a weekend. Which sounds most fun?,D. Sketching or photography,Plastic Surgery,2
Q3. You’re planning a weekend. Which sounds most fun?,D. Sketching or photography,Ophthalmology,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",A. Listen deeply over time,Psychiatry,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",A. Listen deeply over time,Family Medicine,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",A. Listen deeply over time,Pediatrics,2
"Q4. When helping a friend with a problem, what’s your go-to approach?","B. Offer quick, actionable advice",Emergency Medicine,2
"Q4. When helping a friend with a problem, what’s your go-to approach?","B. Offer quick, actionable advice",OB-GYN,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",C. Fix the issue directly,General Surgery,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",C. Fix the issue directly,Urology,2
"Q4. When helping a friend with a problem, what’s your go-to approach?",D. Send them a useful article,Pathology,1
"Q4. When helping a friend with a problem, what’s your go-to approach?",D. Send them a useful article,Radiology,1
Q5. What vacation length feels perfect?,A. 2–3 days,Neurosurgery,1
Q5. What vacation length feels perfect?,A. 2–3 days,General Surgery,1
Q5. What vacation length feels perfect?,B. 1 week,OB-GYN,1
Q5. What vacation length feels perfect?,B. 1 week,Emergency Medicine,1
Q5. What vacation length feels perfect?,C. 3 weeks,Dermatology,2
Q5. What vacation length feels perfect?,C. 3 weeks,Psychiatry,2
Q5. What vacation length feels perfect?,D. No such thing as too long,Radiology,2
Q5. What vacation length feels perfect?,D. No such thing as too long,Pathology,2
Q6. You’ve worked with a patient for months. They relapse. How do you feel?,A. Frustrated but ready to keep trying,Psychiatry,2
